赛季,球队,场次,时间,首发,投篮,二分命中率,三分,三分命中率,罚球,罚球命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
2009,雷霆,6,6,38.5,7.2-20.5,35.0%,1.7-5.8,29.0%,9.0-10.3,87.0%,7.7,2.3,0.50,1.33,3.67,2.83,25.0
2010,雷霆,17,17,42.5,9.1-20.3,45.0%,2.2-6.4,34.0%,8.2-9.8,84.0%,8.2,2.8,0.94,1.12,2.47,3.06,28.6
2011,雷霆,20,20,41.9,9.9-19.1,52.0%,2.0-5.5,37.0%,6.7-7.7,86.0%,7.4,3.7,1.45,1.20,3.15,2.55,28.5
2012,雷霆,11,11,44.1,10.2-22.4,46.0%,2.0-6.4,31.0%,8.5-10.2,83.0%,9.0,6.3,1.27,1.09,3.91,2.36,30.8
2013,雷霆,19,19,42.9,10.2-22.2,46.0%,2.3-6.6,34.0%,6.9-8.6,81.0%,8.9,3.9,1,1.32,3.79,2.16,29.6
2015,雷霆,18,18,40.3,9.7-22.6,43.0%,1.7-6.1,28.0%,7.2-8.1,89.0%,7.1,3.3,1,1,3.61,2.06,28.4
2016,勇士,15,15,35.5,9.9-17.9,56.0%,2.5-5.7,44.0%,6.1-6.9,89.0%,7.9,4.3,0.80,1.33,2.53,2.60,28.5
2017,勇士,21,21,38.4,10.1-20.7,49.0%,2.2-6.6,34.0%,6.5-7.2,90.0%,7.8,4.7,0.71,1.19,2.38,2.05,29.0
2017,汇总,2,2,35.5,9.5-18.0,53.0%,2.0-6.5,31.0%,7.0-7.5,93.0%,7.5,6.5,1,0.50,3.00,3.00,28.0
2018,勇士,12,12,36.8,10.4-20.2,51.0%,2.9-6.7,44.0%,8.5-9.4,90.0%,4.9,4.5,1.08,1,3.58,3.17,32.2
2020,篮网,12,12,40.4,12.1-23.5,51.0%,2.8-6.8,40.0%,7.3-8.4,87.0%,9.2,4.4,1.50,1.58,3.50,2.58,34.2
2021,篮网,4,4,44.0,8.0-20.8,39.0%,1.8-5.2,33.0%,8.5-9.5,90.0%,5.8,6.2,1,0.25,5.25,3.75,26.2
2022,太阳,11,11,42.4,9.7-20.4,48.0%,1.5-4.6,33.0%,8.0-8.7,92.0%,8.7,5.5,0.82,1.36,3.55,2.64,29.0
