赛季,球队,场次,时间,首发,投篮,二分命中率,三分,三分命中率,罚球,罚球命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
2003,骑士,79,79,39.5,7.9-18.9,42.0%,0.8-2.7,29.0%,4.4-5.8,75.0%,5.5,5.9,1.65,0.73,3.46,1.89,20.9
2004,骑士,80,80,42.4,9.9-21.1,47.0%,1.4-3.9,35.0%,6.0-8.0,75.0%,7.3,7.2,2.21,0.65,3.27,1.82,27.2
2005,骑士,79,79,42.5,11.1-23.1,48.0%,1.6-4.8,34.0%,7.6-10.3,74.0%,7.0,6.6,1.56,0.84,3.29,2.29,31.4
2006,骑士,78,78,40.9,9.9-20.8,48.0%,1.3-4.0,32.0%,6.3-9.0,70.0%,6.7,6.0,1.60,0.71,3.21,2.19,27.3
2007,骑士,75,74,40.4,10.6-21.9,48.0%,1.5-4.8,32.0%,7.3-10.3,71.0%,7.9,7.2,1.84,1.08,3.40,2.20,30.0
2008,骑士,81,81,37.7,9.7-19.9,49.0%,1.6-4.7,34.0%,7.3-9.4,78.0%,7.6,7.2,1.69,1.15,2.98,1.72,28.4
2009,骑士,76,76,39.0,10.1-20.1,50.0%,1.7-5.1,33.0%,7.8-10.2,77.0%,7.3,8.6,1.64,1.01,3.43,1.57,29.7
2010,热火,79,79,38.8,9.6-18.8,51.0%,1.2-3.5,33.0%,6.4-8.4,76.0%,7.5,7.0,1.57,0.63,3.59,2.06,26.7
2011,热火,62,62,37.5,10.0-18.9,53.0%,0.9-2.4,36.0%,6.2-8.1,77.0%,7.9,6.2,1.85,0.81,3.44,1.55,27.1
2012,热火,76,76,37.9,10.1-17.8,57.0%,1.4-3.3,41.0%,5.3-7.0,75.0%,8.0,7.2,1.70,0.88,2.97,1.45,26.8
2013,热火,77,77,37.7,10.0-17.6,57.0%,1.5-4.0,38.0%,5.7-7.6,75.0%,6.9,6.3,1.57,0.34,3.51,1.64,27.1
2014,骑士,69,69,36.1,9.0-18.5,49.0%,1.7-4.9,35.0%,5.4-7.7,71.0%,6.0,7.4,1.58,0.71,3.94,1.96,25.3
2015,骑士,76,76,35.6,9.7-18.6,52.0%,1.1-3.7,31.0%,4.7-6.5,73.0%,7.4,6.8,1.37,0.64,3.28,1.88,25.3
2016,骑士,74,74,37.8,9.9-18.2,55.0%,1.7-4.6,36.0%,4.8-7.2,67.0%,8.6,8.7,1.24,0.59,4.09,1.81,26.4
2017,骑士,82,82,36.9,10.5-19.3,54.0%,1.8-5.0,37.0%,4.7-6.5,73.0%,8.6,9.1,1.41,0.87,4.23,1.66,27.5
2017,汇总,82,82,36.9,10.5-19.3,54.0%,1.8-5.0,37.0%,4.7-6.5,73.0%,8.6,9.1,1.41,0.87,4.23,1.66,27.5
2018,湖人,55,55,35.2,10.1-19.9,51.0%,2.0-5.9,34.0%,5.1-7.6,67.0%,8.5,8.3,1.31,0.60,3.58,1.71,27.4
2019,湖人,67,67,34.6,9.6-19.4,49.0%,2.2-6.3,35.0%,3.9-5.7,69.0%,7.8,10.2,1.16,0.54,3.90,1.76,25.3
2020,湖人,45,45,33.4,9.4-18.3,51.0%,2.3-6.3,37.0%,4.0-5.7,70.0%,7.7,7.8,1.07,0.56,3.73,1.56,25.0
2021,湖人,56,56,37.2,11.4-21.8,52.0%,2.9-8.0,36.0%,4.5-6.0,76.0%,8.2,6.2,1.30,1.05,3.50,2.16,30.3
2022,湖人,55,54,35.5,11.1-22.2,50.0%,2.2-6.9,32.0%,4.6-5.9,77.0%,8.3,6.8,0.91,0.58,3.24,1.60,28.9
