球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
乔尔-恩比德,76人,33.10,11.00-20.10,0.548,1.00-3.00,0.33,10.00-11.70,0.857,66,34.60
卢卡-东契奇,独行侠,32.40,10.90-22.00,0.496,2.80-8.20,0.342,7.80-10.50,0.742,66,36.20
达米安-利拉德,开拓者,32.20,9.60-20.70,0.463,4.20-11.30,0.371,8.80-9.60,0.914,58,36.30
谢伊-吉尔杰斯-亚历山大,雷霆,31.40,10.30-20.30,0.51,0.90-2.50,0.345,9.80-10.90,0.905,68,35.50
扬尼斯-阿德托昆博,雄鹿,31.10,11.20-20.30,0.553,0.80-2.70,0.275,7.90-12.20,0.645,63,32.10
杰森-塔特姆,凯尔特人,30.10,9.80-21.10,0.466,3.20-9.30,0.35,7.20-8.40,0.854,74,36.90
多诺万-米切尔,骑士,28.30,10.00-20.60,0.484,3.60-9.30,0.386,4.70-5.40,0.867,68,35.80
杰伦-布朗,凯尔特人,26.60,10.10-20.60,0.491,2.40-7.30,0.335,3.90-5.10,0.765,67,35.90
贾-莫兰特,灰熊,26.20,9.30-19.90,0.466,1.50-4.90,0.307,6.10-8.10,0.748,61,31.90
特雷-杨,老鹰,26.20,8.20-19.00,0.429,2.10-6.30,0.335,7.80-8.80,0.886,73,34.80
劳里-马尔卡宁,爵士,25.60,8.70-17.40,0.499,3.00-7.70,0.391,5.30-6.10,0.875,66,34.40
朱利叶斯-兰德尔,尼克斯,25.10,8.60-18.60,0.459,2.80-8.30,0.343,5.20-6.90,0.757,77,35.50
达龙-福克斯,国王,25.00,9.30-18.20,0.512,1.60-5.00,0.324,4.70-6.00,0.78,73,33.40
扎克-拉文,公牛,24.80,8.70-18.00,0.485,2.70-7.10,0.375,4.70-5.60,0.848,77,35.90
安东尼-爱德华兹,森林狼,24.60,8.90-19.50,0.459,2.70-7.30,0.369,4.00-5.30,0.756,79,36.00
德马尔-德罗赞,公牛,24.50,8.90-17.60,0.504,0.60-1.90,0.324,6.20-7.10,0.872,74,36.20
尼古拉-约基奇,掘金,24.50,9.40-14.80,0.632,0.80-2.20,0.383,4.90-6.00,0.822,69,33.70
帕斯卡尔-西亚卡姆,猛龙,24.20,8.90-18.50,0.48,1.30-4.00,0.324,5.20-6.70,0.774,71,37.40
杰伦-布伦森,尼克斯,24.00,8.60-17.60,0.491,2.00-4.70,0.416,4.80-5.80,0.829,68,35.00
克里斯塔普斯-波尔津吉斯,凯尔特人,23.20,7.80-15.70,0.498,2.10-5.50,0.385,5.40-6.40,0.851,65,32.60
吉米-巴特勒,热火,22.90,7.50-13.90,0.539,0.60-1.60,0.35,7.40-8.70,0.85,64,33.40
杰伦-格林,火箭,22.10,7.50-17.90,0.416,2.50-7.30,0.338,4.80-6.10,0.786,76,34.20
凯尔登-约翰逊,马刺,22.00,8.00-17.70,0.452,2.10-6.50,0.329,3.90-5.20,0.749,63,32.70
克莱-汤普森,勇士,21.90,7.90-18.10,0.436,4.40-10.60,0.412,1.70-1.90,0.879,69,33.00
达里厄斯-加兰,骑士,21.60,7.60-16.40,0.462,2.50-6.00,0.41,4.00-4.70,0.863,69,35.50
博扬-波格丹诺维奇,活塞,21.60,7.30-14.90,0.488,2.50-6.00,0.411,4.50-5.10,0.884,59,32.10
德斯蒙德-贝恩,灰熊,21.50,7.80-16.20,0.479,2.90-7.00,0.408,3.10-3.50,0.883,58,31.70
凯尔-库兹马,奇才,21.20,8.00-17.80,0.448,2.50-7.50,0.333,2.70-3.70,0.73,64,35.00
安芬尼-西蒙斯,开拓者,21.10,7.50-16.90,0.447,3.40-9.10,0.377,2.60-2.90,0.894,62,35.00
特里-罗齐尔,黄蜂,21.10,7.80-18.90,0.415,2.60-8.00,0.327,2.80-3.50,0.809,63,35.30
詹姆斯-哈登,76人,21.00,6.40-14.50,0.441,2.80-7.20,0.385,5.40-6.20,0.867,58,36.80
CJ-麦科勒姆,鹈鹕,20.90,7.80-17.90,0.437,2.80-7.20,0.389,2.40-3.20,0.769,75,35.30
乔丹-克拉克森,爵士,20.80,7.50-16.90,0.444,2.50-7.50,0.338,3.30-4.00,0.816,61,32.60
杰拉米-格兰特,开拓者,20.50,6.90-14.50,0.475,2.30-5.70,0.401,4.40-5.40,0.813,63,35.70
德章泰-默里,老鹰,20.50,8.30-17.80,0.464,1.80-5.20,0.344,2.10-2.60,0.832,74,36.40
巴姆-阿德巴约,热火,20.40,8.00-14.90,0.54,0.00-0.20,0.083,4.30-5.40,0.806,75,34.60
乔丹-普尔,奇才,20.40,6.70-15.60,0.43,2.60-7.80,0.336,4.40-5.10,0.87,82,30.00
泰雷斯-马克西,76人,20.30,7.30-15.20,0.481,2.70-6.20,0.434,3.00-3.50,0.845,60,33.60
泰勒-希罗,热火,20.10,7.30-16.50,0.439,3.00-8.00,0.378,2.50-2.70,0.934,67,34.90
保罗-班切罗,魔术,20.00,6.70-15.60,0.427,1.20-4.00,0.298,5.50-7.40,0.738,72,33.80
贾马尔-默里,掘金,20.00,7.30-16.00,0.454,2.70-6.70,0.398,2.80-3.30,0.833,65,32.80
RJ-巴雷特,尼克斯,19.60,7.00-16.10,0.434,1.70-5.30,0.31,4.00-5.40,0.74,73,33.90
弗雷德-范弗利特,猛龙,19.30,6.30-16.10,0.393,3.00-8.80,0.342,3.70-4.10,0.898,69,36.70
朱-霍勒迪,雄鹿,19.30,7.30-15.30,0.479,2.40-6.10,0.384,2.30-2.60,0.859,67,32.60
小凯文-波特,火箭,19.20,6.60-15.00,0.442,2.40-6.50,0.366,3.50-4.50,0.784,59,34.30
多曼塔斯-萨博尼斯,国王,19.10,7.30-11.90,0.615,0.40-1.00,0.373,4.10-5.50,0.742,79,34.60
小贾伦-杰克逊,灰熊,18.60,6.60-13.10,0.506,1.60-4.50,0.355,3.80-4.90,0.788,63,28.40
弗朗茨-瓦格纳,魔术,18.60,6.80-14.00,0.485,1.60-4.50,0.361,3.40-4.00,0.842,80,32.60
迈尔斯-特纳,步行者,18.00,6.50-11.80,0.548,1.50-4.00,0.373,3.50-4.40,0.783,62,29.40
德安德烈-艾顿,太阳,18.00,7.80-13.20,0.589,0.10-0.40,0.292,2.30-3.00,0.76,67,30.40
