赛季,球队,场次,时间,首发,投篮,二分命中率,三分,三分命中率,罚球,罚球命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
2009,勇士,80,77,36.2,6.6-14.3,46.0%,2.1-4.8,44.0%,2.2-2.5,89.0%,4.5,5.9,1.90,0.24,3.04,3.15,17.5
2010,勇士,74,74,33.6,6.8-14.2,48.0%,2.0-4.6,44.0%,2.9-3.1,93.0%,3.9,5.8,1.47,0.27,3.05,3.15,18.6
2011,勇士,26,23,28.2,5.6-11.4,49.0%,2.1-4.7,46.0%,1.5-1.8,81.0%,3.4,5.3,1.50,0.31,2.50,2.38,14.7
2012,勇士,78,78,38.2,8.0-17.8,45.0%,3.5-7.7,45.0%,3.4-3.7,90.0%,4.0,6.9,1.62,0.15,3.08,2.54,22.9
2013,勇士,78,78,36.5,8.4-17.7,47.0%,3.3-7.9,42.0%,3.9-4.5,89.0%,4.3,8.5,1.64,0.18,3.77,2.49,24.0
2014,勇士,80,80,32.7,8.2-16.8,49.0%,3.6-8.1,44.0%,3.9-4.2,91.0%,4.3,7.7,2.04,0.20,3.11,1.98,23.8
2015,勇士,79,79,34.2,10.2-20.2,50.0%,5.1-11.2,45.0%,4.6-5.1,91.0%,5.4,6.7,2.14,0.19,3.32,2.04,30.1
2016,勇士,79,79,33.4,8.5-18.3,47.0%,4.1-10.0,41.0%,4.1-4.6,90.0%,4.5,6.6,1.80,0.22,3.03,2.32,25.3
2017,勇士,51,51,32.0,8.4-16.9,50.0%,4.2-9.8,42.0%,5.5-5.9,92.0%,5.1,6.1,1.57,0.16,3.00,2.24,26.4
2017,汇总,51,51,32.0,8.4-16.9,50.0%,4.2-9.8,42.0%,5.5-5.9,92.0%,5.1,6.1,1.57,0.16,3.00,2.24,26.4
2018,勇士,69,69,33.8,9.2-19.4,47.0%,5.1-11.7,44.0%,3.8-4.2,92.0%,5.3,5.2,1.33,0.36,2.78,2.41,27.3
2019,勇士,5,5,27.8,6.6-16.4,40.0%,2.4-9.8,25.0%,5.2-5.2,100.0%,5.2,6.6,1,0.40,3.20,2.20,20.8
2020,勇士,63,63,34.2,10.4-21.7,48.0%,5.3-12.7,42.0%,5.7-6.3,92.0%,5.5,5.8,1.22,0.13,3.38,1.89,32.0
2021,勇士,64,64,34.5,8.4-19.1,44.0%,4.5-11.7,38.0%,4.3-4.7,92.0%,5.2,6.3,1.33,0.36,3.22,2.03,25.5
2022,勇士,56,56,34.7,10.0-20.2,49.0%,4.9-11.4,43.0%,4.6-5.0,92.0%,6.1,6.3,0.93,0.36,3.20,2.09,29.4
